"Promoter Name"	"Absolute-Plus-1-Position"	"Promoters - genes downstream of promoter"	"Transcription-Direction"	"Promoters - transcription units of promoter"	"Transcription units - pathways"
PM0-44441	320193	""	+	""	""
PM0-9720	3645238	EG11441 // EG12233		TU0-13957	""
PM0-44805	1234767	""	-	""	""
PM00265	1619093	EG11435 // EG11434 // EG11599	+	TU00190	""
PM0-45172	2039286	""	+	""	""
PM00673	3322278	EG30050		TU00518	""
PM0-45533	3043256	""	-	""	""
PM0-45901	3916059	""	-	""	""
PM0-10490	1988682	EG10921		TU0-13449	""
PM0-4844	1942634	EG12368 // G7018		TU0-4604	""
PM0-44427	311393	G6165		TU0-12880	""
PM0-9696	457202	EG10542 // EG10159		TU0-14455	""
PM0-44789	1210323	""	+	""	""
PM00241	1795721	EG10440		TU00174	""
PM0-45156	1992050	""	-	""	""
PM00657	3215597	EG30046		TU00502	""
PM0-45517	3000039	""	-	""	""
PM0-45885	3843921	""	-	""	""
PM0-4644	1359373	G6643		TU0-4404	""
PM0-10466	3613439	EG12079 // EG11519 // EG12078 // EG12077 // EG12076 // EG12075		TU0-14783	""
PM0-44411	282223	""	+	""	""
PM0-9650	2928035	""	+	""	""
PM0-44773	1201440	""	+	""	""
PM00218	1165992	EG10649		TU00158	""
PM0-45140	1959984	""	-	""	""
PM00641	3377569	EG10978 // EG10977		TU00361	""
PM0-45501	2985741	""	+	""	""
PM0-45869	3799496	""	-	""	""
PM0-46357	3405172	EG10276 // EG10275	+	TU0-42603	""
PM0-10437	3967800	EG11458 // EG11457 // G7800 // EG11486 // EG11456 // EG11455 // EG11454 // EG11453 // EG11452 // EG11451 // EG11295 // EG10840		TU0-14039	""
PM0-44395	240319	""	+	""	""
PM0-9618	4579835	G0-10610		TU0-14420	""
PM00193	3532679	EG10688	+	TU00141	""
PM0-44760	1181346	""	-	""	""
PM0-45124	1925364	""	+	""	""
PM00625	4348764	EG10357 // EG10006		TU00468	""
PM0-45853	3757880	""	-	""	""
PM0-46338	1875600	G6976	-	TU0-8713	""
PM0-10383	1547205	EG12713		TU0-13284	""
PM0-44379	193338	""	+	""	""
PM0-9587	888057	G0-8880		TU0-13070	""
PM00168	3267093	G7624 // G7626 // G7627 // EG11172 // EG10991 // EG10990 // EG10989		TU00125	""
PM0-44744	1153293	""	+	""	""
PM0-45108	1910125	""	-	""	""
PM00608	105045	EG10347		TU0-1423	""
PM0-45472	2900472	""	+	""	""
PM0-45837	3720810	""	-	""	""
PM0-10361	4486139	EG10694		TU0-14175	""
PM0-46325	1340186	EG12691 // G6637	+	TU0-42573	""
PM0-44363	148910	""	-	""	""
PM0-9561	3990774	EG10170		TU0-14403	""
PM00148	754767	EG10402		TU00106	""
PM0-44728	1105738	""	+	""	""
PM0-45092	1879360	""	-	""	""
PM00592	2405162	EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12089 // EG12088 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12082		TU00310	""
PM0-45456	2859737	""	+	""	""
PM0-45821	3696367	""	-	""	""
PM0-10300	2814816	EG12712		TU0-8849	""
PM0-46307	3860253	EG11707	+	TU0-8596	""
PM0-44349	57268	""	+	""	""
PM0-9522	492056	EG10245		TU0-12948	""
PM0-44712	1056207	""	+	""	""
PM00134	4404664	EG10790		TU00094	""
PM0-45076	1854924	""	-	""	""
PM00575	1194961	EG10489		TU00425	""
PM0-45440	2758928	""	+	""	""
PM0-45805	3632595	""	-	""	""
PM0-10256	3178004	EG11165 // EG11164 // EG11163 // EG11009		TU0-14701	""
PM0-46270	1064037	EG12194 // EG12193		TU0-42532	""
PM0-44333	5030	""	+	""	""
PM0-9409	1441780	G6702		TU0-13241	""
PM0-44696	1029980	""	+	""	""
PM00108	2532377	EG10192		TU00079	""
PM0-45060	1813188	""	-	""	""
PM00558	765926	EG11109		TU00408	""
PM0-45424	2741822	""	+	""	""
PM0-45789	3605698	""	+	""	""
PM0-10229	3055759	EG30099 // EG11158 // EG30099		TU0-36423 // TU0-14689	""
PM0-10223	2167114	G0-8878		TU0-13506	""
PM0-46188	1015657	EG50004		TU0-42483	""
PM0-4141	1556046	EG11508		TU0-3901	""
PM0-9366	3136403	EG12883		TU0-13818	""
PM0-44677	960238	""	+	""	""
PM00084	1004732	EG10807	+	TU00061	""
PM0-45041	1765291	""	-	""	""
PM00539	2798578	EG11554		TU00395	""
PM0-45405	2668053	""	-	""	""
PM0-45770	3580859	""	-	""	""
PM0-10195	4607781	EG12115 // EG10850 // EG11414		TU0-14216	""
PM0-46160	1563249	G6777 // G6778 // G6779 // G6780 // G6781 // G6782		TU0-42463	""
PM0-3665	4112869	EG11877 // EG11876		TU0-3465	""
PM0-9309		G6276		TU0-8873	""
PM0-44661	922912	""	+	""	""
PM00060	1279807	EG10638 // EG10639 // EG10641 // EG10640		TU00044	""
PM0-45025	1739849	""	+	""	""
PM00523	208411	EG11647	+	TU00230	""
PM0-45389	2641880	""	-	""	""
PM0-45754	3526403	""	+	""	""
PM0-10178	4265589	EG10001		TU0-14120	""
PM0-46124	2562053	G7277 // G7276		TU0-42449	""
PM0-36249	2629253	G7315		TU0-13647	""
PM0-9094	3216753	G7594		TU0-8658	""
PM0-44645	863530	""	+	""	""
PM00038	3561971	EG10394		TU00031	""
PM0-45009	1693006	""	-	""	""
PM00506	4483927	EG11067		TU0-6405	""
PM0-45373	2562080	""	+	""	""
PM0-45738	3499438	""	+	""	""
PM0-10157	3931103	EG11541		TU0-14032	""
PM0-46106	4609344	""	+	""	""
PM0-36234	1168844	G6569		TU0-8684	""
PM0-8900		EG10873		TU0-8464	""
PM0-44628	839274	""	-	""	""
PM00019	2246942	EG10155		TU00014	""
PM0-44993	1655690	""	-	""	""
PM00489	4128558	EG10588		TU0-2706	""
PM0-45357	2517892	""	-	""	""
PM0-45722	3413633	""	-	""	""
PM0-10137	3438001	EG11180		TU0-13909	""
PM0-46090	4578062	""	-	""	""
PM0-3622	493709	EG10834 // EG11100		TU0-3422	""
PM0-8758	716641	EG11778 // EG11777		TU0-8375	""
PM0-44613	788898	""	-	""	""
PM00002	2147559	EG11222		TU00002	""
PM0-44977	1624543	""	-	""	""
PM00473	3922525	EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099 // EG10106		TU00243	""
PM0-45341	2462982	""	+	""	""
PM0-45706	3389477	""	+	""	""
PM0-10119	3069871	EG11160		TU0-13800	""
PM0-46074	4520381	""	-	""	""
PM0-36186	3907665	EG10735		TU0-36420	""
PM0-8730	920094	""	+	""	""
PM0-44597	749185	""	-	""	""
PM0-9985	486492	G6255		TU0-12944	""
PM0-44961	1577666	""	-	""	""
PM00454	3782681	EG10187		TU0-6501	""
PM0-45325	2423712	""	-	""	""
PM932	4196859	EG11738		TU787	""
PM0-45690	3366720	""	+	""	""
PM0-10100	2652324	G7323 // G7322		TU0-13652	""
PM0-46058	4496266	""	-	""	""
PM0-36140	2313452	EG10821 // EG12385		TU0-14359	""
PM0-8625	1946110	EG11136		TU0-8245	""
PM0-44581	683482	""	-	""	""
PM0-9969	310119	G6163 // G6162 // G6161 // G6160		TU0-12878	""
PM0-44945	1532858	""	+	""	""
PM00437	3212688	EG10896		TU00438	""
PM0-45309	2385760	""	+	""	""
PM7	1463509	G6721 // G6720	+	TU7	""
PM0-45674	3309040	""	-	""	""
PM0-10082	2233989	EG11289 // G7145		TU0-13538	""
PM0-46042	4449817	""	+	""	""
PM0-3341	771202	EG10174 // EG10173		TU0-3161	""
PM0-8529	601929	EG10708		TU0-8149	""
PM0-44565	665222	""	-	""	""
PM0-9890	3068836	EG11159		TU0-13799	""
PM0-44929	1506154	""	+	""	""
PM00419	2737579	EG10707 // EG11271		TU0-6653	""
PM0-45293	2356690	""	+	""	""
PM641	911076	EG10754		TU541	""
PM0-45658	3287276	""	+	""	""
PM0-10065	1937544	EG10803		TU0-13440	""
PM0-46026	4416756	""	+	""	""
PM0-2741	3152014	EG10272 // EG10271		TU00265	""
PM0-8241	1601460	G6806 // G6805 // G6804 // G6803 // G6802 // G6801 // G6800		TU0-7861	""
PM0-44549	641922	""	+	""	""
PM0-9864	4397046	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281		TU0-14561	""
PM0-44913	1491653	""	+	""	""
PM00399	2101324	EG10411		TU0-5101	""
PM0-45278	2303797	""	+	""	""
PM562	1237538	EG11408 // EG11407		TU462	""
PM0-45642	3254280	""	-	""	""
PM0-10049	1689794	G6865		TU0-13348	""
PM0-46010	4326836	""	-	""	""
PM0-2223	141279	EG10369		TU0-7001	""
PM0-8061	1636603	G6820 // G6821 // EG11634		TU0-7681	""
PM0-44533	579844	""	+	""	""
PM0-9841		EG12004		TU0-13524	""
PM0-44897	1437058	""	-	""	""
PM00377	1806351	EG10700		TU0-6408	""
PM0-45263	2265420	""	-	""	""
PM449	3742618	EG12278		TU368	""
PM0-45626	3236513	""	+	""	""
PM0-10031	1351118	EG11528		TU0-13204	""
PM0-45994	4278318	""	+	""	""
PM0-1963	3086577	EG10589		TU0-1783	""
PM0-7801	136940	EG11089 // EG10962 // EG10963		TU00359	""
PM0-44517	558062	""	+	""	""
PM0-9819		G7542 // EG20080		TU0-14536	""
PM0-44881	1420242	""	-	""	""
PM00361	1079291	EG10802		TU123	""
PM0-45248	2232684	""	+	""	""
PM361	2710186	G7347 // G7348 // EG12341 // EG11897		TU281	""
PM0-45610	3199694	""	-	""	""
PM0-10012	1027041	G6497		TU0-13100	""
PM0-45978	4205986	""	-	""	""
PM0-1661	1646388	G6833		TU0-1501	""
PM0-7504	3808180	EG11423 // EG11426 // EG11425 // EG11353 // EG11352 // EG11351 // EG11350 // EG11340 // EG11339 // EG11341		TU0-7162	""
PM0-44501	508284	""	-	""	""
PM0-9800		EG11044		TU0-14520	""
PM0-44865	1392072	G6662 // G0-10446 // G0-10645 // G6663 // G6663		TU0-42524 // TU0-13216	""
PM00344	699222	EG10092		TU0-4929	""
PM0-45233	2194175	""	-	""	""
PM327	2665401	G7329	+	TU0-3982	""
PM0-45594	3172253	""	-	""	""
PM-8827	4432009	G7866		TU-8441	""
PM0-45962	4106449	""	+	""	""
PM0-1350	223593	EG30076 // EG30083 // EG30010 // EG30045 // EG30090		TU0-1190	""
PM0-6882	3278703	G7630		TU0-6582	""
PM0-44485	476399	""	+	""	""
PM0-9779		G6236		TU0-14500	""
PM0-44849	1339193	""	+	""	""
PM00328	185977	EG10207		TU0-6443	""
PM0-45217	2151016	""	+	""	""
PM204	4640688	EG10061		TU348	""
PM0-45578	3149483	""	+	""	""
PM-8797	2013146	G379 // G378 // G377 // EG11656 // EG11654 // EG11347		TU-8411	""
PM0-45946	4069363	""	-	""	""
PM0-1221	4042391	EG11297 // EG11831		TU0-1061	""
PM0-5721	1658003	G6849 // G6848 // G6847 // G6846 // G6845		TU0-5481	""
PM0-44469	405723	""	+	""	""
PM0-9761		G6991 // G6990		TU0-13413	""
PM0-44833	1313055	""	-	""	""
PM00312	4058107	EG10383 // EG10385 // EG10387 // EG10383		TU0-5903 // TU00029	""
PM0-45201	2103049	""	-	""	""
PM175	3517600	EG11030 // EG11871 // M004 // EG10204 // EG11183		TU874	""
PM0-45562	3130025	""	+	""	""
PM-8772	926479	EG10504		TU-8389	""
PM0-45930	4024970	""	+	""	""
PM0-10558	2908152	EG10258		TU0-14821	""
PM0-5301	4214159	EG10581		TU0-5061	""
PM0-44453	346436	""	-	""	""
PM0-9741	63588	EG11083	-	TU0-14488	""
PM0-44818	1269856	""	+	""	""
PM00287	1262177	EG10774		TU00203	""
PM0-45185	2063354	""	-	""	""
PM1037	3515153	EG11030 // EG11871 // M004		TU877	""
PM0-45546	3099757	""	-	""	""
PM0-45914	4004231	""	-	""	""
PM0-10525	4158394	EG31116		TU0-8485	""
PM0-5062	4051036	G0-8874		TU0-4822	""
PM0-44439	320170	""	-	""	""
PM0-9717	1190491	EG10732 // EG10731		TU0-14468	""
PM0-44802	1228808	""	+	""	""
PM00260	1699228	EG10557		TU00187	""
PM0-45169	2033223	""	-	""	""
PM00670	2818697	EG30013 // EG30019 // EG30018 // EG30015 // EG30095		TU00515	""
PM0-45530	3032938	""	+	""	""
PM0-45898	3899399	""	-	""	""
PM0-10480	3000265	G7487 // G7486 // G7485		TU0-14792	""
PM0-4763	3578880	EG12630		TU0-4523	""
PM0-44424	304258	""	-	""	""
PM0-9692	914129	G6456 // G6457		TU0-14451	""
PM0-44786	1209672	""	+	""	""
PM00234	2942639	EG11795		TU00171	""
PM0-45153	1987802	""	-	""	""
PM00654	2520924	EG30110 // EG30113 // EG30114 // EG30056		TU00495	""
PM0-45514	2993581	""	+	""	""
PM0-45882	3842509	""	-	""	""
PM0-46371	1996906	G0-10699	+	TU0-42630	""
PM0-10463	335739	G6184		TU0-14781	""
PM0-44408	275287	""	+	""	""
PM0-9643	432977	EG10704 // G6234 // EG10666 // EG11322 // EG11321 // EG11320		TU0-12921	""
PM0-44770	1198516	""	+	""	""
PM00212	4330320	EG11612		TU00155	""
PM0-45137	1950760	""	+	""	""
PM00638	2709632	G7347 // G7348 // EG12341		TU00526	""
PM0-45498	2985701	""	-	""	""
PM0-45866	3793729	""	-	""	""
PM0-46354	3696364	EG12262	-	TU0-14316	""
PM0-10434	1734357	G6892		TU0-13359	""
PM0-44392	237235	""	+	""	""
PM0-9605	3700136	G0-9042		TU0-13973	""
PM00187	3756535	EG12292		TU00138	""
PM0-44757	1175374	""	+	""	""
PM0-45121	1925029	""	+	""	""
PM00622	4360106	EG10131 // EG10132	-	TU00467	""
PM0-45485	2947273	""	-	""	""
PM0-45850	3751986	""	+	""	""
PM0-46335	1506150	G6745	+	TU0-13264	""
PM0-10380	651984	G6346 // G6345		TU0-13000	""
PM0-44376	192849	""	+	""	""
PM0-9580	2035630	G7055		TU0-14416	""
PM00164	710716	EG10359	-	TU00121	""
PM0-44741	1146628	""	-	""	""
PM0-45105	1907509	""	-	""	""
PM00605	4516727	EG10290 // EG10289 // EG10288 // EG10287 // EG10286		TU00151	""
PM0-45469	2899607	""	-	""	""
PM0-45834	3716479	""	+	""	""
PM0-10356	4394092	G7843		TU0-8611	""
PM0-46322	406355	EG10083 // EG11093 // EG10082	+	TU0-42568	""
PM0-44360	146959	""	+	""	""
PM0-9556	3486031	EG10164		TU0-14398	""
PM00144	758586	EG10980 // EG10979 // EG10979 // EG10980 // EG10981 // EG10982		TU0-42509 // TU00103	""
PM0-44725	1105330	""	+	""	""
PM0-45089	1877722	""	-	""	""
PM00589	2620909	EG12129 // EG11332		TU00439	""
PM0-45453	2799087	""	+	""	""
PM0-45818	3685648	""	-	""	""
PM0-10287	3664651	EG12242		TU0-14718	""
PM0-46304	2599806	EG11149	+	TU0-42559	""
PM0-44346	35399	""	-	""	""
PM0-9517	3455510	EG11263 // G7701		TU0-14377	""
PM0-44709	1056182	""	-	""	""
PM00129	3553024	EG10562		TU00091	""
PM0-45073	1848711	""	+	""	""
PM00571	3600870	EG10897		TU00427	""
PM0-45437	2758978	""	+	""	""
PM0-45802	3619097	""	+	""	""
PM0-10252	3659140	EG12241 // EG12240		TU0-14697	""
PM0-46264	1880800	G6984		TU0-42526	""
PM0-4430	3101798	EG12705		TU0-4189	""
PM0-9401	1623879	EG11643		TU0-13308	""
PM0-44693	1027797	""	-	""	""
PM00104	2982208	EG11157 // EG10056 // EG10056	-	TU0-42571 // TU00076	""
PM0-45057	1807775	""	+	""	""
PM00555	156214	EG11972 // EG11973		TU00404	""
PM0-45421	2741347	""	+	""	""
PM0-45786	3605794	""	-	""	""
PM0-45418	2725809	""	-	""	""
PM0-45783	3604352	""	+	""	""
PM0-10220	1726021	G6891 // G6890 // G6889 // G6890 // G6889		TU0-42534 // TU0-14687	""
PM0-46185	1862240	EG10367		TU0-42480	""
PM0-4	4105686	EG10163 // EG10020	-	TU0-3	""
PM0-9363	1144762	EG10859		TU0-14272	""
PM0-44674	960132	""	+	""	""
PM00080	2621153	EG10798 // EG10799		TU00058	""
PM0-45038	1759481	""	-	""	""
PM00536	1103344	G6543 // G6544 // G6545 // G6546	-	TU00392	""
PM0-45402	2664204	""	+	""	""
PM0-45767	3566773	""	-	""	""
PM0-10192	4457945	EG10741		TU0-14167	""
PM0-46156	853064	G0-8881 // G0-10715		TU0-42460	""
PM0-36262	1063828	EG12194 // EG12193		TU0-36443	""
PM0-9301	1717269	G6879 // EG11043		TU0-8865	""
PM0-44658	916212	""	-	""	""
PM00054	4132546	EG10585		TU00218	""
PM0-45022	1725932	""	-	""	""
PM00520	953741	EG10701		TU00382	""
PM0-45386	2629186	""	+	""	""
PM0-45751	3526274	""	+	""	""
PM0-10175	4256608	EG10224		TU0-14115	""
PM0-46121	1362728	G6646 // EG11822 // EG10036		TU0-13211	""
PM0-36246	2265417	EG12035		TU0-13547	""
PM0-8927	3637612	EG12230		TU0-8491	""
PM0-44642	859104	""	-	""	""
PM00034	4058222	EG10383 // EG10385 // EG10387 // EG10383		TU0-5901 // TU00027	""
PM0-45006	1682062	""	-	""	""
PM00503	4472553	EG11279 // EG10811 // EG10805		TU00484	""
PM0-45370	2550678	""	-	""	""
PM0-45735	3478699	""	-	""	""
PM0-10153	3830431	EG11684		TU0-14006	""
PM0-46103	4606273	""	-	""	""
PM0-36231	855947	G6423		TU0-8503	""
PM0-8873	3318175	EG11179 // EG10505 // EG10665		TU00311	""
PM0-44625	830783	""	+	""	""
PM00015	809292	EG10117		TU00013	""
PM0-44990	1648457	""	+	""	""
PM00486	4124509	EG10200	-	TU0-5961	""
PM0-45354	2509453	""	+	""	""
PM0-45719	3413487	""	-	""	""
PM0-10133	3353049	EG10062		TU0-5621	""
PM0-46087	4564802	""	-	""	""
PM0-36213	4235872	EG11926 // EG11925 // EG11924 // EG11923		TU0-36435	""
PM0-8750	2065874	EG12151 // EG12150 // EG13238		TU00252	""
PM0-44610	785373	""	-	""	""
PM0-9998	878070	G6435		TU0-8632	""
PM0-44974	1621264	""	+	""	""
PM00469	3884237	EG10862 // EG10892		TU682	""
PM0-45338	2462802	""	+	""	""
PM0-45703	3388263	""	-	""	""
PM0-10116	3005847	G7488		TU0-8748	""
PM0-46071	4511639	""	-	""	""
PM0-36183	3216538	G7593		TU0-8327	""
PM0-8721		EG12356		TU0-8341	""
PM0-44594	742622	""	-	""	""
PM0-9982	475201	EG10995		TU0-8528	""
PM0-44958	1570584	""	-	""	""
PM00451	3639983	EG11390		TU00431	""
PM0-45322	2407408	G7184		TU0-13579	""
PM924	4201905	EG10482 // EG10008		TU783	""
PM0-45687	3362039	""	+	""	""
PM0-10097	2639433	G7321		TU0-14646	""
PM0-46055	4486188	""	+	""	""
PM0-36133	3155302	G7565 // G7564		TU0-13823	""
PM0-8622	1947439	EG10925		TU0-8242	""
PM0-44578	679416	""	-	""	""
PM0-9966	222806	EG11736		TU0-12838	""
PM0-44942	1520096	""	+	""	""
PM00434	3210712	EG10920 // EG10239 // EG10896		TU00434	""
PM0-45306	2382654	""	+	""	""
PM687	472556	EG11821 // EG12191		TU587	""
PM0-45671	3301437	""	+	""	""
PM0-10079	2178781	G7132 // G7131 // G7130		TU0-13509	""
PM0-46039	4437617	""	+	""	""
PM0-3304	137045	EG12318		TU0-3124	""
PM0-8526	4439511	G7872		TU0-8146	""
PM0-44562	662399	""	-	""	""
PM0-9885	657250	EG12179		TU0-13001	""
PM0-44926	1502446	""	+	""	""
PM00416	2707196	EG10529 // EG10530		TU0-6942	""
PM0-45290	2344207	""	-	""	""
PM622	2911368	EG10572 // EG11249 // EG10571		TU522	""
PM0-45655	3287405	""	+	""	""
PM0-10062	1874323	G6975		TU0-8712	""
PM0-46023	4379474	""	-	""	""
PM0-2622	4467279	EG12202		TU0-2442	""
PM0-8203	585665	EG10673		TU0-7823	""
PM0-44546	633524	""	-	""	""
PM0-9859		EG12845 // G7425 // G7426 // G7427		TU0-14558	""
PM0-44910	1490887	""	+	""	""
PM00391	2055031	EG10039		TU0-6422	""
PM0-45275	2282438	""	+	""	""
PM526	2838132	EG11551 // EG11552		TU424	""
PM0-45639	3252761	""	+	""	""
PM0-10046	1637846	G6823		TU0-13319	""
PM0-46007	4307995	""	-	""	""
PM0-2201	4240300	EG11209		TU0-2021	""
PM0-8	4591412	EG11034		TU0-7	""
PM0-44530	573774	""	+	""	""
PM0-9837		EG30031 // EG30029 // EG30059 // EG30030		TU0-14553	""
PM0-44894	1433712	""	-	""	""
PM00374	1799301	EG11272 // EG10440 // EG11272 // EG10710 // EG10709		TU0-8856 // TU0-6626	""
PM0-45260	2258557	""	-	""	""
PM443	738980	EG10736 // EG11108		TU362	""
PM0-45623	3235892	""	-	""	""
PM0-10028	1310892	EG11607		TU0-13188	""
PM0-45991	4261658	""	+	""	""
PM0-1901	4368603	G7832		TU0-1721	""
PM0-7741	1065559	EG10033		TU0-7401	""
PM0-44514	556891	""	-	""	""
PM0-9815		EG10610 // EG10609		TU0-14532	""
PM0-44878	1418219	""	-	""	""
PM00358	1079179	EG10802		TU104	""
PM0-45245	2225669	""	-	""	""
PM341	973404	EG10618 // EG11252 // EG12165 // EG12167	+	TU261	""
PM0-45607	3199698	""	-	""	""
PM0-10009	989044	EG10094		TU0-13093	""
PM0-45975	4196714	""	+	""	""
PM0-1581	1616955	EG11636		TU0-1421	""
PM0-7421	3088255	EG12148		TU0-7081	""
PM0-44498	504886	""	+	""	""
PM0-9796		G6447		TU0-14516	""
PM0-44862	1383991	""	-	""	""
PM00341	495084	EG10461		TU00402	""
PM0-45230	2192909	""	-	""	""
PM324	1488190	EG10035	+	TU102	""
PM0-45591	3169887	""	-	""	""
PM-8820	3836664	EG11685 // EG11686		TU-8434	""
PM0-45959	4102753	""	+	""	""
PM0-1347	2731448	EG30075 // EG30082 // EG30035 // EG30089		TU0-1187	""
PM0-6541	3853337	G0-9962		TU0-6241	""
PM0-44482	463752	""	+	""	""
PM0-9774		G7904		TU0-14185	""
PM0-44846	1335105	""	+	""	""
PM00325	122969	EG10025 // EG10024		TU0-6634	""
PM0-45214	2151077	""	-	""	""
PM197	3146363	G7554 // EG11805 // EG11804 // EG11803 // EG11802 // EG11801 // EG11800 // EG11799	-	TU00289	""
PM0-45575	3147781	""	+	""	""
PM-8790	1966216	G7027 // G370 // G7028		TU-8405	""
PM0-45943	4065971	""	-	""	""
PM0-1181	191812	EG11539		TU0-1021	""
PM0-5581	2219523	EG12009 // EG12010 // EG12011 // EG12012		TU0-5341	""
PM0-44466	399460	""	-	""	""
PM0-9758		G7196 // G7195		TU0-13589	""
PM0-44830	1307352	""	-	""	""
PM00306	1301085	EG10674 // EG10675 // EG10676 // EG10677 // EG10678		TU00222	""
PM0-45198	2099735	""	-	""	""
PM172	511411	G6260		TU0-3122	""
PM0-45559	3119266	""	-	""	""
PM-8768	2638975	G7319 // G7320		TU-8385	""
PM0-45927	4024873	""	-	""	""
PM0-10554	3072735	EG10282 // EG10703 // EG10703		TU0-14818 // TU0-14817	""
PM0-5284	1610737	""	-	""	""
PM0-44450	345252	""	+	""	""
PM0-9737	2765906	G7365		TU0-14484	""
PM0-44815	1269477	""	-	""	""
PM00282	17458	EG11078 // EG10652		TU00200	""
PM0-45182	2059828	""	-	""	""
PM1029	427205	EG10940 // EG10938 // EG11096		TU869	""
PM0-45543	3091018	""	+	""	""
PM0-45911	4002875	""	-	""	""
PM0-10516	1842188	G6955		TU0-14800	""
PM0-5001	2924524	G0-8785		TU0-4761	""
PM0-44436	318525	""	-	""	""
PM0-9713	2290422	EG11527		TU0-8819	""
PM0-44799	1224711	""	-	""	""
PM00257	3597755	EG10536 // EG10537 // EG10541 // EG10538 // EG10540		TU00184	""
PM0-45166	2029461	""	-	""	""
PM00667	1992180	G0-16636 // EG30054 // G7991 // EG30039	-	TU00512	""
PM0-45527	3029164	""	-	""	""
PM0-45895	3896762	""	+	""	""
PM0-10473	4284935	EG11942		TU0-14786	""
PM0-4744	4313132	EG11957 // EG11958 // EG11959 // EG12458 // G7821		TU0-4504	""
PM0-44421	295671	""	-	""	""
PM0-9688	1879994	G6983 // G6982		TU0-13407	""
PM0-44783	1209266	""	-	""	""
PM00231	2240566	EG10594 // EG10592 // EG10593		TU00168	""
PM0-45150	1979586	""	+	""	""
PM00651	2062252	EG30022		TU00499	""
PM0-45511	2990368	""	-	""	""
PM0-45879	3836877	""	+	""	""
PM0-46368	2965254	EG11002	-	TU0-42616	""
PM0-10453	1907793	EG12204 // G7000		TU0-14771	""
PM0-44405	275298	""	-	""	""
PM0-9632	2691340	G0-8910		TU0-13666	""
PM00208	4299407	EG10285	-	TU00152	""
PM0-45134	1945452	""	-	""	""
PM00635	2533608	EG10788 // EG10789 // EG10165		TU00483	""
PM0-45495	2980803	""	-	""	""
PM0-45863	3784576	""	-	""	""
PM0-46351	1335090	G0-10513 // G0-10512	+	TU0-13198	""
PM0-10415	3168653	G7572 // G7571		TU0-13832	""
PM0-44389	233982	""	-	""	""
PM0-9601	4278066	G0-8875	-	TU0-8519	""
PM00180	2933854	EG10351 // EG10348		TU00135	""
PM0-44754	1175325	""	-	""	""
PM0-45118	1921725	""	+	""	""
PM00619	3492395	EG10757		TU00464	""
PM0-45482	2943229	""	-	""	""
PM0-45847	3751875	""	-	""	""
PM0-46332	2914318	EG10835	-	TU0-42590	""
PM0-10372	3244843	EG12734 // G81		TU0-14746	""
PM0-44373	177700	""	-	""	""
PM0-9576	2908846	EG10258		TU0-14414	""
PM00159	4361963	EG10133		TU00118	""
PM0-44738	1129914	""	-	""	""
PM0-45102	1894779	""	+	""	""
PM00602	4001194	EG11463		TU00455	""
PM0-45466	2876544	""	+	""	""
PM0-45831	3716415	""	-	""	""
PM0-10351	1360968	G6643 // G6644		TU0-13209	""
PM0-46319	2278397	EG12042	-	TU0-42565	""
PM0-44358	145053	""	+	""	""
PM0-9552	21833	EG11081 // EG11080 // EG10548 // EG10492		TU0-14394	""
PM0-44722	1100252	G6542		TU0-13121	""
PM0-45086	1875648	""	+	""	""
PM00585	1755467	EG10804		TU00527	""
PM0-45450	2795643	""	+	""	""
PM0-45815	3673330	""	+	""	""
PM0-10281	2153646	G0-8885		TU0-13503	""
PM0-46301	1447370	G7961	+	TU0-42551	""
PM0-44343	16951	""	-	""	""
PM0-9514	3455482	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702		TU0-14374	""
PM0-44706	1051304	""	-	""	""
PM00125	1989645	EG11041		TU00088	""
PM0-45070	1845011	""	-	""	""
PM00568	3192002	EG11381		TU00420	""
PM0-45434	2755507	""	+	""	""
PM0-45799	3619044	""	+	""	""
PM0-10248	1823492	G6937		TU0-8267	""
PM0-46235	794751	G6396		TU0-13041	""
PM0-4424	200960	EG10316		TU0-4184	""
PM0-9396	1170417	G6571		TU0-13138	""
PM0-44690	1018460	""	-	""	""
PM00101	2310427	EG10037 // EG10029		TU00072	""
PM0-45054	1806250	""	-	""	""
PM00552	4189753	EG11429		TU00399	""
PM00549	1330848	EG11013		TU0-2503	""
PM0-45415	2722578	""	+	""	""
PM0-45780	3597958	""	+	""	""
PM0-10214	4376509	G0-9562		TU0-14682	""
PM0-46180	84024	EG11575 // EG11576 // EG11577 // EG11226 // EG11280		TU0-42478	""
PM0-3847	1074026	G6523 // G6522 // G6521 // G6520 // G6519 // G6518 // G6517		TU0-3645	""
PM0-9350	4119358	EG11879		TU0-14264	""
PM0-44671	949574	""	+	""	""
PM00076	2597781	EG10791		TU00055	""
PM0-45035	1755209	""	-	""	""
PM00533	1982465	EG11751 // EG11752		TU00312	""
PM0-45399	2659962	""	-	""	""
PM0-45764	3556880	""	-	""	""
PM0-10189	4428819	G7864		TU0-8663	""
PM0-46142	2819189	EG11447		TU0-42459	""
